iter	Logloss
0	0.6850498582
1	0.6773415749
2	0.6697510427
3	0.6614781357
4	0.6547568412
5	0.6482108323
6	0.6412879192
7	0.6350001586
8	0.6281937095
9	0.6216236436
10	0.6157124877
11	0.6087410121
12	0.6029293924
13	0.5971422279
14	0.5909109576
15	0.5856644934
16	0.5803013816
17	0.574859233
18	0.5693044132
19	0.5642818655
20	0.5592030863
21	0.5539746235
22	0.5491961485
23	0.5442163893
24	0.5397900647
25	0.5355668326
26	0.5307924309
27	0.5266808014
28	0.5225299201
29	0.5186791761
30	0.5144991983
31	0.5107091142
32	0.507075801
33	0.5035703741
34	0.4997639274
35	0.4962570263
36	0.4929545029
37	0.4892504672
38	0.4855831608
39	0.4823504562
40	0.4794419295
41	0.4765352654
42	0.4731295791
43	0.4696066275
44	0.4667102864
45	0.4639013748
46	0.461251977
47	0.4583288616
48	0.455565817
49	0.4527810223
50	0.4498023892
51	0.4474467258
52	0.4448889162
53	0.4426013602
54	0.4403260797
55	0.4380639422
56	0.4357272875
57	0.4326413955
58	0.4300156977
59	0.4281466527
60	0.4259660416
61	0.4235775182
62	0.4210386443
63	0.4190690151
64	0.4166865705
65	0.4146864251
66	0.4124569304
67	0.4105081673
68	0.4087776023
69	0.4067443879
70	0.4050617222
71	0.4033246859
72	0.4014747552
73	0.4004520703
74	0.3989096522
75	0.396652921
76	0.394605088
77	0.3929025297
78	0.3913858068
79	0.3897607227
80	0.3881881295
81	0.3869764774
82	0.3858960014
83	0.3842776714
84	0.3829582288
85	0.3814719975
86	0.3798828871
87	0.3790150847
88	0.3777505141
89	0.3765519412
90	0.3753103816
91	0.3741169721
92	0.372732281
93	0.3717538967
94	0.370682743
95	0.3695138544
96	0.3683628038
97	0.3673090668
98	0.3661642754
99	0.3648175167
100	0.3635968011
101	0.3622936102
102	0.3612363593
103	0.360069595
104	0.3588102016
105	0.3577256423
106	0.3566527963
107	0.3553953798
108	0.3541040151
109	0.353229116
110	0.3523424626
111	0.3513375679
