iter	Passed	Remaining
407	3990	5790
408	3997	5776
409	4005	5763
410	4010	5746
411	4015	5731
412	4034	5734
413	4045	5725
414	4055	5717
415	4061	5702
416	4071	5692
417	4082	5684
418	4124	5718
419	4142	5721
420	4178	5746
421	4195	5746
422	4213	5748
423	4229	5745
424	4240	5737
425	4248	5724
426	4259	5716
427	4266	5702
428	4278	5694
429	4287	5683
430	4294	5669
431	4302	5656
432	4310	5644
433	4318	5632
434	4323	5615
435	4335	5608
436	4342	5594
437	4351	5583
438	4359	5570
439	4373	5565
440	4378	5550
441	4404	5559
442	4409	5544
443	4415	5529
444	4418	5510
445	4424	5496
446	4436	5488
447	4442	5473
448	4450	5461
449	4456	5446
450	4460	5429
451	4490	5444
452	4509	5445
453	4521	5437
454	4534	5431
455	4541	5417
456	4548	5403
457	4554	5389
458	4561	5376
459	4569	5364
460	4580	5356
461	4587	5341
462	4594	5328
463	4601	5315
464	4611	5306
465	4618	5292
466	4626	5280
467	4630	5264
468	4636	5249
469	4643	5236
470	4648	5221
471	4657	5210
472	4664	5197
473	4669	5181
474	4677	5169
475	4683	5156
476	4690	5142
477	4696	5129
478	4703	5115
479	4710	5102
480	4716	5088
481	4721	5073
482	4727	5060
483	4731	5044
484	4737	5030
485	4743	5016
486	4749	5003
487	4755	4989
488	4761	4975
489	4768	4963
490	4775	4950
491	4781	4936
492	4788	4924
493	4793	4909
494	4799	4896
495	4805	4883
496	4815	4873
497	4821	4860
498	4824	4843
499	4830	4830
500	4838	4819
501	4847	4809
502	4853	4795
503	4865	4788
504	4871	4774
505	4877	4761
506	4884	4749
507	4890	4736
508	4897	4724
509	4904	4711
510	4913	4702
511	4920	4689
512	4927	4678
513	4933	4664
514	4939	4651
515	4946	4639
516	4951	4625
517	4962	4617
518	4967	4603
519	4974	4591
520	4979	4578
521	4991	4571
522	5001	4561
523	5011	4552
524	5018	4540
525	5027	4530
526	5035	4519
527	5042	4508
528	5051	4497
529	5056	4484
530	5062	4471
531	5067	4457
532	5073	4444
533	5083	4435
534	5089	4423
535	5100	4415
536	5106	4402
537	5124	4400
538	5134	4391
539	5140	4378
540	5153	4372
541	5169	4368
542	5173	4354
543	5182	4343
544	5188	4331
545	5192	4317
546	5199	4305
547	5205	4293
548	5214	4283
549	5221	4272
550	5234	4265
551	5239	4252
552	5251	4244
553	5256	4232
554	5266	4222
555	5271	4209
556	5281	4200
557	5295	4194
558	5303	4183
559	5385	4231
560	5397	4223
561	5409	4216
562	5415	4203
563	5424	4193
564	5434	4184
565	5451	4180
566	5458	4168
567	5463	4155
568	5468	4142
569	5474	4130
570	5479	4116
571	5489	4107
572	5496	4096
573	5503	4084
574	5510	4072
575	5514	4059
576	5522	4048
577	5528	4036
578	5533	4023
579	5541	4012
580	5546	4000
581	5554	3989
582	5559	3976
583	5565	3964
584	5572	3953
585	5577	3940
586	5586	3930
587	5593	3919
588	5602	3909
589	5610	3899
590	5620	3889
591	5635	3883
592	5645	3874
593	5654	3864
594	5668	3858
595	5678	3849
596	5688	3839
597	5699	3831
598	5711	3823
599	5717	3811
600	5725	3801
601	5746	3798
602	5759	3791
603	5781	3790
604	5788	3779
605	5795	3768
606	5802	3757
607	5808	3744
608	5812	3732
609	5818	3719
610	5824	3708
611	5830	3696
612	5835	3684
613	5845	3674
614	5852	3663
615	5859	3652
616	5866	3641
617	5874	3630
618	5879	3618
619	5888	3608
620	5898	3600
621	5906	3589
622	5911	3577
623	5916	3565
624	5922	3553
625	5926	3541
626	5931	3528
627	5938	3517
628	5945	3506
629	5953	3496
630	5963	3487
631	5971	3477
632	5976	3465
633	5983	3454
634	5988	3442
635	6034	3453
636	6040	3442
637	6046	3430
638	6052	3419
639	6059	3408
640	6065	3397
641	6070	3385
642	6074	3372
643	6082	3362
644	6089	3351
645	6096	3340
646	6104	3330
647	6109	3318
648	6115	3307
649	6118	3294
650	6122	3282
651	6126	3269
652	6133	3259
653	6138	3247
654	6141	3235
655	6151	3225
656	6156	3214
657	6166	3205
658	6174	3194
659	6183	3185
660	6189	3174
661	6196	3163
662	6201	3152
663	6207	3141
664	6213	3130
665	6225	3122
666	6243	3116
667	6256	3109
668	6264	3099
669	6272	3089
670	6279	3078
671	6282	3066
672	6287	3055
673	6296	3045
674	6309	3037
675	6314	3026
676	6323	3016
677	6327	3005
678	6332	2993
679	6340	2983
680	6348	2973
681	6355	2963
682	6360	2951
683	6365	2940
684	6370	2929
685	6375	2918
686	6381	2907
687	6386	2896
688	6390	2884
689	6397	2874
690	6401	2862
691	6405	2851
692	6410	2839
693	6416	2829
694	6420	2817
695	6424	2806
696	6430	2795
697	6434	2784
698	6438	2772
699	6444	2761
700	6448	2750
701	6453	2739
702	6457	2728
703	6463	2717
704	6468	2706
705	6473	2695
706	6479	2685
707	6485	2674
708	6491	2664
709	6498	2654
710	6504	2644
711	6511	2633
712	6517	2623
713	6524	2613
714	6530	2603
715	6537	2592
716	6544	2583
717	6551	2573
718	6558	2563
719	6564	2553
720	6570	2542
721	6575	2531
722	6582	2521
723	6587	2511
724	6593	2501
725	6601	2491
726	6608	2481
727	6615	2471
728	6623	2462
729	6629	2452
730	6637	2442
731	6643	2432
732	6650	2422
733	6657	2412
734	6662	2402
735	6667	2391
736	6672	2381
737	6679	2371
738	6687	2361
739	6693	2351
740	6698	2341
741	6704	2331
742	6710	2321
743	6717	2311
744	6723	2301
745	6729	2291
746	6736	2281
747	6742	2271
748	6749	2261
749	6755	2251
750	6760	2241
751	6765	2231
752	6770	2220
753	6776	2210
754	6782	2200
755	6788	2190
756	6794	2181
757	6800	2170
758	6804	2160
759	6809	2150
760	6814	2140
761	6819	2129
762	6823	2119
763	6829	2109
764	6834	2099
765	6838	2089
766	6845	2079
767	6848	2068
768	6852	2058
769	6857	2048
770	6862	2038
771	6867	2028
772	6871	2017
773	6877	2008
774	6882	1998
775	6885	1987
776	6891	1977
777	6896	1967
778	6900	1957
779	6905	1947
780	6910	1937
781	6915	1927
782	6921	1918
783	6927	1908
784	6931	1898
785	6940	1889
786	6944	1879
787	6948	1869
788	6956	1860
789	6961	1850
790	6966	1840
791	6975	1831
792	6979	1821
793	6987	1812
794	6991	1802
795	7002	1794
796	7019	1787
797	7027	1778
798	7049	1773
799	7081	1770
800	7090	1761
801	7099	1752
802	7106	1743
803	7119	1735
804	7136	1728
805	7143	1719
806	7158	1711
807	7167	1703
808	7178	1694
809	7196	1688
810	7202	1678
811	7214	1670
812	7220	1660
813	7229	1651
814	7237	1642
815	7245	1633
816	7251	1624
817	7259	1615
818	7266	1605
819	7274	1596
820	7281	1587
821	7296	1579
822	7301	1570
823	7309	1561
824	7315	1551
825	7323	1542
826	7329	1533
827	7336	1523
828	7341	1514
829	7345	1504
830	7351	1494
831	7359	1486
832	7365	1476
833	7372	1467
834	7376	1457
835	7380	1447
836	7385	1438
837	7388	1428
838	7393	1418
839	7398	1409
840	7403	1399
841	7408	1390
842	7414	1380
843	7421	1371
844	7426	1362
845	7432	1353
846	7438	1343
847	7444	1334
848	7451	1325
849	7457	1316
850	7464	1306
851	7470	1297
852	7475	1288
853	7481	1278
854	7485	1269
855	7490	1260
856	7494	1250
857	7501	1241
858	7508	1232
859	7515	1223
860	7521	1214
861	7528	1205
862	7533	1195
863	7539	1186
864	7545	1177
865	7550	1168
866	7557	1159
867	7562	1149
868	7567	1140
869	7572	1131
870	7579	1122
871	7585	1113
872	7590	1104
873	7596	1095
874	7601	1085
875	7605	1076
876	7610	1067
877	7615	1058
878	7622	1049
879	7628	1040
880	7635	1031
881	7642	1022
882	7648	1013
883	7654	1004
884	7660	995
885	7667	986
886	7674	977
887	7680	968
888	7685	959
889	7692	950
890	7697	941
891	7703	932
892	7708	923
893	7713	914
894	7719	905
895	7724	896
896	7728	887
897	7732	878
898	7739	869
899	7745	860
900	7752	851
901	7758	842
902	7764	834
903	7772	825
904	7777	816
905	7782	807
906	7788	798
907	7795	789
908	7802	781
909	7809	772
910	7815	763
911	7821	754
912	7827	745
913	7836	737
914	7841	728
915	7846	719
916	7851	710
917	7856	701
918	7861	692
919	7866	684
920	7870	675
921	7875	666
922	7881	657
923	7886	648
924	7890	639
925	7898	631
926	7902	622
927	7907	613
928	7913	604
929	7917	595
930	7922	587
931	7928	578
932	7932	569
933	7937	560
934	7941	552
935	7946	543
936	7950	534
937	7954	525
938	7960	517
939	7965	508
940	7969	499
941	7976	491
942	7980	482
943	7984	473
944	7991	465
945	7995	456
946	8000	447
947	8005	439
948	8010	430
949	8015	421
950	8019	413
951	8026	404
952	8031	396
953	8035	387
954	8041	378
955	8049	370
956	8056	361
957	8060	353
958	8066	344
959	8071	336
960	8076	327
961	8081	319
962	8086	310
963	8091	302
964	8095	293
965	8099	285
966	8105	276
967	8109	268
968	8113	259
969	8118	251
970	8123	242
971	8127	234
972	8131	225
973	8136	217
974	8140	208
975	8144	200
976	8149	191
977	8154	183
978	8158	175
979	8163	166
980	8169	158
981	8173	149
982	8181	141
983	8186	133
984	8190	124
985	8195	116
986	8199	108
987	8204	99
988	8215	91
989	8220	83
990	8225	74
991	8232	66
992	8236	58
993	8241	49
994	8247	41
995	8253	33
996	8258	24
997	8265	16
998	8270	8
999	8278	0
